"Index number","City","State","River","Jam date","Water year","Jam type","Latitude","Longitude","Gage number","Ahps id","Current condition","Damages"
"20210223221354","Allagash","ME","Allagash River","02/18/2021","2021","Freeze-up","-69.046113","47.08311","-","ALLM1","released","-"
"20210218191624","Jefferson City","MO","Missouri River","02/16/2021","2021","Freeze-up","-92.193715","38.596941","-","JFFM7","released","-"
"20210503204541","Fairbanks","AK","Little Chena River","04/28/2021","2021","Break-up","-147.249688","64.885494","-","-","released","-"
"20210503204442","Fairbanks","AK","Little Chena River","04/28/2021","2021","Break-up","-147.405475","64.856194","-","-","released","-"
"20210503204313","Fairbanks","AK","Chena River","04/28/2021","2021","Break-up","-147.637634","64.845638","-","-","released","-"
"20210503204221","Fairbanks","AK","Chena River","04/27/2021","2021","Break-up","-147.70877","64.846365","-","-","released","-"
"20210503204127","Fairbanks","AK","Chena River","04/27/2021","2021","Break-up","-147.410469","64.846641","-","-","released","-"
"20210503204030","Fairbanks","AK","Chena River","04/27/2021","2021","Break-up","-147.649381","64.842591","-","-","released","-"
"20210503203846","Fairbanks","AK","Chena River","04/28/2021","2021","Break-up","-147.690473","64.840041","-","-","released","-"
"20210503203757","Fairbanks","AK","Chena River","04/28/2021","2021","Break-up","-147.722694","64.844225","-","-","released","-"
"20210503203639","Fairbanks","AK","Chena River","04/27/2021","2021","Break-up","-147.81258","64.842369","-","-","released","-"
"20210503202837","Fairbanks","AK","Tanana River","04/27/2021","2021","Break-up","-147.838889","64.792778","-","TAFA2","released","-"
"20210503202630","Fairbanks","AK","Tanana River","04/27/2021","2021","Break-up","-147.322559","64.711828","-","-","released","-"
"20210127140139","Portage","WI","Wisconsin River","01/23/2021","2021","Freeze-up","-89.47383","43.53635","-","PORW3","released","-"
"20210525210851","North Sidney","AK","Sagavanirktok River","05/21/2021","2021","Break-up","-148.817222","69.015","-","SGRA2","released","-"
"20210514183508","Buckland","AK","Buckland River","05/12/2021","2021","Break-up","-161.142929","65.982666","-","-","released","Flooding is occurring in the residential areas of the town.  Flooding has also cut off road access to the airport."
"20210514182738","Bettles","AK","Koyukuk River","05/09/2021","2021","Break-up","-151.537493","66.921466","-","-","released","-"
"20210504214627","Sleetmute","AK","Kuskokwim River","04/29/2021","2021","Break-up","-157.177477","61.707401","-","-","released","-"
"20210504214520","Chitina","AK","Copper River","04/27/2021","2021","Break-up","-144.412222","61.525556","-","-","released","-"
"20210323190444","East Berkshire","VT","Missisquoi River","03/19/2021","2021","Break-up","-72.703383","44.935155","-","-","released","-"
"20210210193017","Lewellen","NE","North Platte River","02/10/2021","2021","Freeze-up","-102.125556","41.316944","-","LEWN1","released","-"
"20210210192837","Pembine","WI","Menominee River","02/10/2021","2021","Freeze-up","-87.777612","45.592645","-","PBIW3","released","-"
"20210210191834","Crouseville","ME","Aroostook River","01/13/2021","2021","Freeze-up","-68.04429","46.739286","-","WSHM1","released","-"
"20210210185345","Taylor","NE","North Loup River","02/07/2021","2021","Freeze-up","-99.379167","41.776944","-","TYLN1","released","-"
"20210210183205","Sherman","MI","Manistee River","02/07/2021","2021","Freeze-up","-85.698611","44.436389","-","SHRM4","released","-"
"20210119210206","Three Forks","MT","Jefferson River","01/13/2021","2021","Unknown","-111.595833","45.897778","-","TFKM8","released","-"
"20210323190249","Cambridge","VT","Lamoille River","03/19/2021","2021","Break-up","-72.868161","44.645064","-","-","released","-"
"20210323185851","Jay","NY","Ausable River","03/19/2021","2021","Break-up","-73.726805","44.372651","-","-","released","-"
"20210216225746","Spearfish","SD","Spearfish Creek","02/16/2021","2021","Freeze-up","-103.851952","44.476767","-","-","released","-"
"20210216225608","Belgrade","MT","Yellow Dog River","02/16/2021","2021","Freeze-up","-111.251583","45.743323","-","-","released","-"
"20210216225310","Spencer","NE","Niobrara River","02/12/2021","2021","Freeze-up","-98.657082","42.808902","-","-","released","-"
"20210128183314","Gibbon","NE","Platte River","01/27/2021","2021","Freeze-up","-98.848233","40.691296","-","KEAN1","released","No damages were reported."
"20210128182837","North Platte","NE","North Platte River","01/28/2021","2021","Freeze-up","-100.758889","41.153889","-","NPTN1","released","No damages were reported."
"20210128182346","Lewellen","NE","North Platte River","01/27/2021","2021","Freeze-up","-100.758889","41.153889","-","LEWN1","released","No damages were reported."
"20210330213233","Washburn","ME","Aroostook River","03/29/2021","2021","Break-up","-68.045331","46.739861","-","-","released","-"
"20210330213048","Fort Kent","ME","St. John River","03/27/2021","2021","Break-up","-68.743217","47.231741","-","-","released","-"
"20210330212750","Keegan","ME","St. John River","03/27/2021","2021","Break-up","-67.966773","47.202428","-","-","released","-"
"20210316203958","Sheboygan","WI","Sheboygan River","03/10/2021","2021","Break-up","-87.752222","43.741389","-","SEBW3","released","-"
"20210309202902","Buffalo","NY","Cazenovia Creek","03/07/2021","2021","Break-up","-78.82684","42.861034","-","-","released","-"
"20210527202404","Ocean Point","AK","Colville River","05/26/2021","2021","Break-up","-151.306973","70.037926","-","-","not flooding","-"
"20210112222701","Fort Fairfield","ME","Aroostook River","12/26/2020","2021","Break-up","-67.835","46.774652","-","WSHM1","released","-"
"20210112223249","Grand Isle","ME","St. John River","12/26/2020","2021","Break-up","-68.133938","47.294809","-","FTKM1","released","-"
"20210420204957","Anchor Point","AK","Anchor River","04/19/2021","2021","Break-up","-151.836389","59.772222","-","APBA2","released","-"
"20210203184540","Algonac","MI","St. Clair River","02/02/2021","2021","Freeze-up","-82.520647","42.617578","-","-","released","-"
"20210129203338","Latham Park","IL","Rock River","01/29/2021","2021","Freeze-up","-89.058333","42.368611","-","LATI2","released","-"
"20210105223414","Lewellen","NE","North Platte River","12/31/2020","2021","Freeze-up","-102.125556","41.316944","-","lewn1","released","-"
"20210105222801","Three Forks","MT","Jefferson River","12/27/2020","2021","Unknown","-111.595833","45.897778","-","tfkm8","released","-"
"20210105222411","Portage","WI","Wisconsin River","12/28/2020","2021","Unknown","-89.47383","43.53635","-","porw3","released","-"
"20210202211033","Fremont","NE","Platte River","01/29/2021","2021","Freeze-up","-96.508261","41.405484","-","NBDN1","released","-"
"20210202210846","Genoa","NE","Loup River","01/29/2021","2021","Freeze-up","-97.723611","41.418611","-","GELN1","released","-"
