,Index number,City,State,River,Jam date,Water year,Jam type,Latitude,Longitude,Gage number,Ahps id,Current condition,Damages
0,20210223221354,Allagash,ME,Allagash River,02/18/2021,2021,Freeze-up,-69.046113,47.08311,-,ALLM1,released,-
1,20210218191624,Jefferson City,MO,Missouri River,02/16/2021,2021,Freeze-up,-92.193715,38.596941,-,JFFM7,released,-
2,20210503204541,Fairbanks,AK,Little Chena River,04/28/2021,2021,Break-up,-147.249688,64.885494,-,-,released,-
3,20210503204442,Fairbanks,AK,Little Chena River,04/28/2021,2021,Break-up,-147.405475,64.856194,-,-,released,-
4,20210503204313,Fairbanks,AK,Chena River,04/28/2021,2021,Break-up,-147.637634,64.845638,-,-,released,-
5,20210503204221,Fairbanks,AK,Chena River,04/27/2021,2021,Break-up,-147.70877,64.846365,-,-,released,-
6,20210503204127,Fairbanks,AK,Chena River,04/27/2021,2021,Break-up,-147.410469,64.846641,-,-,released,-
7,20210503204030,Fairbanks,AK,Chena River,04/27/2021,2021,Break-up,-147.649381,64.842591,-,-,released,-
8,20210503203846,Fairbanks,AK,Chena River,04/28/2021,2021,Break-up,-147.690473,64.840041,-,-,released,-
9,20210503203757,Fairbanks,AK,Chena River,04/28/2021,2021,Break-up,-147.722694,64.844225,-,-,released,-
10,20210503203639,Fairbanks,AK,Chena River,04/27/2021,2021,Break-up,-147.81258,64.842369,-,-,released,-
11,20210503202837,Fairbanks,AK,Tanana River,04/27/2021,2021,Break-up,-147.838889,64.792778,-,TAFA2,released,-
12,20210503202630,Fairbanks,AK,Tanana River,04/27/2021,2021,Break-up,-147.322559,64.711828,-,-,released,-
13,20210127140139,Portage,WI,Wisconsin River,01/23/2021,2021,Freeze-up,-89.47383,43.53635,-,PORW3,released,-
14,20210525210851,North Sidney,AK,Sagavanirktok River,05/21/2021,2021,Break-up,-148.817222,69.015,-,SGRA2,released,-
15,20210514183508,Buckland,AK,Buckland River,05/12/2021,2021,Break-up,-161.142929,65.982666,-,-,released,Flooding is occurring in the residential areas of the town.  Flooding has also cut off road access to the airport.
16,20210514182738,Bettles,AK,Koyukuk River,05/09/2021,2021,Break-up,-151.537493,66.921466,-,-,released,-
17,20210504214627,Sleetmute,AK,Kuskokwim River,04/29/2021,2021,Break-up,-157.177477,61.707401,-,-,released,-
18,20210504214520,Chitina,AK,Copper River,04/27/2021,2021,Break-up,-144.412222,61.525556,-,-,released,-
19,20210323190444,East Berkshire,VT,Missisquoi River,03/19/2021,2021,Break-up,-72.703383,44.935155,-,-,released,-
20,20210210193017,Lewellen,NE,North Platte River,02/10/2021,2021,Freeze-up,-102.125556,41.316944,-,LEWN1,released,-
21,20210210192837,Pembine,WI,Menominee River,02/10/2021,2021,Freeze-up,-87.777612,45.592645,-,PBIW3,released,-
22,20210210191834,Crouseville,ME,Aroostook River,01/13/2021,2021,Freeze-up,-68.04429,46.739286,-,WSHM1,released,-
23,20210210185345,Taylor,NE,North Loup River,02/07/2021,2021,Freeze-up,-99.379167,41.776944,-,TYLN1,released,-
24,20210210183205,Sherman,MI,Manistee River,02/07/2021,2021,Freeze-up,-85.698611,44.436389,-,SHRM4,released,-
25,20210119210206,Three Forks,MT,Jefferson River,01/13/2021,2021,Unknown,-111.595833,45.897778,-,TFKM8,released,-
26,20210323190249,Cambridge,VT,Lamoille River,03/19/2021,2021,Break-up,-72.868161,44.645064,-,-,released,-
27,20210323185851,Jay,NY,Ausable River,03/19/2021,2021,Break-up,-73.726805,44.372651,-,-,released,-
28,20210216225746,Spearfish,SD,Spearfish Creek,02/16/2021,2021,Freeze-up,-103.851952,44.476767,-,-,released,-
29,20210216225608,Belgrade,MT,Yellow Dog River,02/16/2021,2021,Freeze-up,-111.251583,45.743323,-,-,released,-
30,20210216225310,Spencer,NE,Niobrara River,02/12/2021,2021,Freeze-up,-98.657082,42.808902,-,-,released,-
31,20210128183314,Gibbon,NE,Platte River,01/27/2021,2021,Freeze-up,-98.848233,40.691296,-,KEAN1,released,No damages were reported.
32,20210128182837,North Platte,NE,North Platte River,01/28/2021,2021,Freeze-up,-100.758889,41.153889,-,NPTN1,released,No damages were reported.
33,20210128182346,Lewellen,NE,North Platte River,01/27/2021,2021,Freeze-up,-100.758889,41.153889,-,LEWN1,released,No damages were reported.
